drwxr-xr-x 17 root     sys              0 Apr 30  1984 .
-rw-rw-r--  1 2        kmem           283 Apr 30  1984 include/pwd.h
-rw-rw-r--  1 2        kmem          6333 Apr 30  1984 include/regexp.h
-rw-rw-r--  1 2        kmem          1861 Apr 30  1984 include/reloc.h
-rw-rw-r--  1 2        kmem          2469 Apr 30  1984 include/rje.h
-rw-rw-r--  1 2        kmem          2013 Apr 30  1984 include/scnhdr.h
-rw-rw-r--  1 2        kmem           208 Apr 30  1984 include/search.h
-rw-rw-r--  1 2        kmem           264 Apr 30  1984 include/setjmp.h
-rw-rw-r--  1 2        kmem           326 Apr 30  1984 include/sgsmacros.h
-rw-rw-r--  1 2        kmem          1408 Apr 30  1984 include/sgtty.h
-rw-rw-r--  1 2        kmem            90 Apr 30  1984 include/signal.h
-rw-rw-r--  1 2        kmem          2056 Apr 30  1984 include/stand.h
-rw-rw-r--  1 2        kmem          1810 Apr 30  1984 include/stdio.h
-rw-rw-r--  1 2        kmem          1685 Apr 30  1984 include/storclass.h
-rw-rw-r--  1 2        kmem           159 Apr 30  1984 include/string.h
-rw-rw-r--  1 2        kmem           156 Apr 30  1984 include/symbol.h
-rw-rw-r--  1 2        kmem          5029 Apr 30  1984 include/syms.h
drwxrwxr-x  2 2        kmem             0 Apr 30  1984 include/sys
-rw-rw-r--  1 2        kmem           984 Apr 30  1984 include/sys/acct.h
-rw-rw-r--  1 2        kmem          2866 Apr 30  1984 include/sys/buf.h
-rw-rw-r--  1 2        kmem           414 Apr 30  1984 include/sys/callo.h
-rw-rw-r--  1 2        kmem           329 Apr 30  1984 include/sys/clock.h
-rw-rw-r--  1 2        kmem           998 Apr 30  1984 include/sys/conf.h
-rw-rw-r--  1 2        kmem          2049 Apr 30  1984 include/sys/crtctl.h
-rw-rw-r--  1 2        kmem           116 Apr 30  1984 include/sys/dir.h
-rw-rw-r--  1 2        kmem          1081 Apr 30  1984 include/sys/elog.h
-rw-rw-r--  1 2        kmem          2914 Apr 30  1984 include/sys/erec.h
-rw-rw-r--  1 2        kmem           585 Apr 30  1984 include/sys/err.h
-rw-rw-r--  1 2        kmem          1997 Apr 30  1984 include/sys/errno.h
-rw-rw-r--  1 2        kmem            81 Apr 30  1984 include/sys/fblk.h
-rw-rw-r--  1 2        kmem           891 Apr 30  1984 include/sys/file.h
-rw-rw-r--  1 2        kmem          1223 Apr 30  1984 include/sys/filsys.h
-rw-rw-r--  1 2        kmem           945 Apr 30  1984 include/sys/fp.h
-rw-rw-r--  1 2        kmem           519 Apr 30  1984 include/sys/init.h
-rw-rw-r--  1 2        kmem           588 Apr 30  1984 include/sys/ino.h
-rw-rw-r--  1 2        kmem          2562 Apr 30  1984 include/sys/inode.h
-rw-rw-r--  1 2        kmem          5571 Apr 30  1984 include/sys/io.h
-rw-rw-r--  1 2        kmem          1501 Apr 30  1984 include/sys/iobuf.h
-rw-rw-r--  1 2        kmem            23 Apr 30  1984 include/sys/ioctl.h
-rw-rw-r--  1 2        kmem           813 Apr 30  1984 include/sys/ipc.h
-rw-rw-r--  1 2        kmem           271 Apr 30  1984 include/sys/lapbtr.h
-rw-rw-r--  1 2        kmem           141 Apr 30  1984 include/sys/lock.h
-rw-rw-r--  1 2        kmem           268 Apr 30  1984 include/sys/lprio.h
-rw-rw-r--  1 2        kmem           353 Apr 30  1984 include/sys/map.h
-rw-rw-r--  1 2        kmem           551 Apr 30  1984 include/sys/mba.h
-rw-rw-r--  1 2        kmem          3334 Apr 30  1984 include/sys/mmu.h
-rw-rw-r--  1 2        kmem           411 Apr 30  1984 include/sys/mount.h
-rw-rw-r--  1 2        kmem          2014 Apr 30  1984 include/sys/msg.h
-rw-rw-r--  1 2        kmem          2569 Apr 30  1984 include/sys/mtpr.h
-rw-rw-r--  1 2        kmem          1202 Apr 30  1984 include/sys/nc.h
-rw-rw-r--  1 2        kmem           233 Apr 30  1984 include/sys/opt.h
-rw-rw-r--  1 2        kmem          1193 Apr 30  1984 include/sys/page.h
-rw-rw-r--  1 2        kmem          6007 Apr 30  1984 include/sys/param.h
-rw-rw-r--  1 2        kmem           625 Apr 30  1984 include/sys/pcb.h
-rw-rw-r--  1 2        kmem          5750 Apr 30  1984 include/sys/pcl.h
-rw-rw-r--  1 2        kmem          3195 Apr 30  1984 include/sys/proc.h
-rw-rw-r--  1 2        kmem          1468 Apr 30  1984 include/sys/psl.h
-rw-rw-r--  1 2        kmem           604 Apr 30  1984 include/sys/ram.h
-rw-rw-r--  1 2        kmem           644 Apr 30  1984 include/sys/reg.h
-rw-rw-r--  1 2        kmem           128 Apr 30  1984 include/sys/seg.h
-rw-rw-r--  1 2        kmem          2501 Apr 30  1984 include/sys/sem.h
-rw-rw-r--  1 2        kmem          1881 Apr 30  1984 include/sys/shm.h
-rw-rw-r--  1 2        kmem          1425 Apr 30  1984 include/sys/signal.h
-rw-rw-r--  1 2        kmem          5809 Apr 30  1984 include/sys/space.h
-rw-rw-r--  1 2        kmem          6712 Apr 30  1984 include/sys/st.h
-rw-rw-r--  1 2        kmem           862 Apr 30  1984 include/sys/stat.h
-rw-rw-r--  1 2        kmem           854 Apr 30  1984 include/sys/stermio.h
-rw-rw-r--  1 2        kmem          3393 Apr 30  1984 include/sys/sys.mk
-rw-rw-r--  1 2        kmem          1018 Apr 30  1984 include/sys/sysinfo.h
-rw-rw-r--  1 2        kmem          1225 Apr 30  1984 include/sys/sysmacros.h
-rw-rw-r--  1 2        kmem          1644 Apr 30  1984 include/sys/systm.h
-rw-rw-r--  1 2        kmem          3990 Apr 30  1984 include/sys/termio.h
-rw-rw-r--  1 2        kmem           774 Apr 30  1984 include/sys/text.h
-rw-rw-r--  1 2        kmem           249 Apr 30  1984 include/sys/times.h
-rw-rw-r--  1 2        kmem           209 Apr 30  1984 include/sys/trace.h
-rw-rw-r--  1 2        kmem          2199 Apr 30  1984 include/sys/trap.h
-rw-rw-r--  1 2        kmem           597 Apr 30  1984 include/sys/ttold.h
-rw-rw-r--  1 2        kmem          4148 Apr 30  1984 include/sys/tty.h
-rw-rw-r--  1 2        kmem           400 Apr 30  1984 include/sys/types.h
-rw-rw-r--  1 2        kmem          4208 Apr 30  1984 include/sys/user.h
-rw-rw-r--  1 2        kmem           167 Apr 30  1984 include/sys/utsname.h
-rw-rw-r--  1 2        kmem           381 Apr 30  1984 include/sys/var.h
